Tox	DicerKO.rep1	DicerKO.rep2	DroshaKO.rep1	DroshaKO.rep2	Wildtype.rep1	Wildtype.rep2
41.8	38.259	14.047	3.913	3.196	27.747	27.621
41.9	130.29	186.132	76.755	87.912	2.493	2.662
42	39.293	26.924	24.08	15.984	45.451	50.827
42.1	1080.592	1147.232	677.223	644.164	95.177	87.734
42.2	1101.278	1253.76	322.057	328.476	11.702	12.736
42.3	21.715	15.219	6.923	3.996	83.301	88.467
42.4	8.272	10.536	12.642	16.783	4.694	3.509
42.5	0	0	9.632	9.99	0.178	0.566
42.6	57.908	59.703	15.952	12.388	4.159	2.943
42.7	12.408	11.707	6.923	6.394	0.357	0.226
42.8	79.62	71.412	475.557	492.714	14.493	16.698
42.9	80.653	83.117	240.791	223.383	838.762	704.113
43	31.02	49.167	35.518	33.568	693.733	653.795
43.1	93.063	106.528	111.366	118.284	5.346	6.227
43.2	58.939	72.581	67.122	66.332	39.035	43.924
43.3	11.374	11.707	202.868	195.004	20.732	20.432
43.4	12.409	5.854	66.219	65.535	2.615	2.378
43.5	124.086	135.795	188.119	197.406	23.527	24
43.6	2.068	11.706	3.913	7.193	0.654	1.415
43.7	43.43	62.046	47.257	48.752	20.259	19.471
43.8	4499.214	4386.397	3055.615	3204.85	426.84	409.618
44	280.231	204.861	56.287	63.938	32.499	35.489
44.1	1.034	3.512	5.719	4.396	6.238	6.905
44.2	34.123	26.924	20.468	18.781	5.287	5.207
44.3	92.029	85.459	67.424	80.32	6.536	6.395
44.4	25.851	16.39	964.964	1206.01	14.197	15.623
44.5	51.702	40.974	97.522	110.691	399.39	360.942
44.6	1475.607	1338.043	1269.561	1245.975	64.285	58.865
44.7	148.904	115.893	123.106	107.094	6.178	3.285
44.8	2353.529	2327.237	1512.759	1538.484	185.907	189.384
44.9	163.379	120.578	63.209	81.916	3.207	3.171
45	7.238	8.195	1.806	1.199	635.686	567.197
45.2	3.102	2.341	3.913	1.199	0	0.057
45.3	10.34	3.512	32.207	58.342	16.102	15
45.4	16.544	19.901	0	0	19.845	20.263
45.5	15.51	14.048	52.072	51.948	431.594	592.556
45.6	0	0	7.525	4.795	15.151	16.075
45.7	15.511	19.901	298.28	282.921	58.641	61.808
45.8	2.068	0	9.632	11.588	0.951	0.793
45.9	10.34	8.194	17.759	11.987	0.178	0.227
46	19.646	23.414	71.636	68.332	23.586	25.867
46.1	53.771	79.603	8.428	5.595	3.446	4.585
46.2	23.784	17.56	737.719	764.848	29.47	25.132
46.3	3273.846	3060.061	381.955	325.68	43357.132	39940.902
46.4	132.359	83.114	91.502	84.718	4.99	4.586
46.5	125.121	23.413	893.932	825.586	15.684	11.04
46.6	0	8.194	18.361	18.782	31.55	28.245
46.7	88.925	63.216	53.879	55.148	384.122	423.203
46.8	28.952	22.242	92.405	84.716	2.316	1.189
46.9	10.34	12.878	10.836	12.387	122.633	115.295
47.1	90.997	73.751	279.019	300.905	17.526	18.455
47.2	93.063	101.846	228.149	201.4	38.202	35.376
47.3	22.749	15.219	462.017	470.736	904.478	818.841
47.4	670.072	627.464	210.993	214.988	49.432	46.358
47.5	2.068	1.171	1.505	1.598	0	0.057
47.6	2.068	8.194	4.515	5.994	4.872	5.151
47.7	0	0	39.428	30.77	1.189	2.095
47.8	66.179	93.652	48.46	38.361	8.02	11.151
47.9	4.136	4.683	0.301	1.598	0.059	0.057
48	0	1.171	171.262	171.829	2.614	2.831
48.1	0	0	24.079	21.179	0.712	0.793
48.2	9.306	8.195	3.612	4.396	199.754	209.762
48.3	331.934	231.789	60.801	62.338	2489.386	2195.939
48.4	202.675	666.097	74.646	179.024	1.245	3.737
48.5	78.585	81.947	166.147	191.011	1591.917	1563.877
48.6	6345.02	5305.353	7804.267	7556.561	184	180.788
48.7	0	0	2.709	6.394	18.537	17.716
48.8	9.306	8.195	169.455	79.521	2.317	2.038
48.9	0	0	72.238	72.328	2.317	2.207
49.1	37.226	32.779	69.529	74.726	0.951	0.736
49.2	74081.499	69447.178	40165.372	39091.531	826.658	786.615
49.3	6.204	3.512	0.602	0.400	0	0
49.4	17.579	18.731	5.418	10.391	140.696	140.484
49.5	0	0	5.418	8.392	0.238	0.113
49.6	5.17	5.854	38.828	55.945	0.95	1.076
49.7	98.235	70.24	67.421	56.744	5.109	4.415
49.8	14.477	9.366	47.557	100.301	6.951	6.283
49.9	2.068	2.342	37.624	24.376	26.856	29.546
5	41.361	46.826	147.485	324.479	5.761	4.19
5.2	158.211	145.161	246.208	267.336	38.085	35.997
5.8	44.463	14.048	16.254	35.964	0.356	0.623
50	6.204	8.195	9.331	12.389	32.143	25.979
50.1	48.598	52.68	29.799	37.164	19.369	17.547
50.2	119.948	115.897	121.6	132.671	293.271	281.818
50.3	462.218	406.22	558.944	1423.795	34.036	33.227
50.4	220.253	143.991	347.039	183.419	43.072	44.603
50.5	84.792	77.264	27.692	25.573	1.366	1.077
50.6	201.643	166.232	170.36	192.21	52.758	57.958
50.7	16.544	10.536	21.371	25.574	48.303	48.904
50.9	5.17	4.683	231.459	219.784	15.268	13.131
